Thu, Mar 23, 2017 07:00:04 PM
Chassis Name,Utilization,Number of CPUs Available,Total Number of CPUs,Memory Utilization,Number of Nodes UP,Number of Nodes DOWN,Number of Nodes UNDER MAINTENANCE,Number of Nodes Idle,Number of Nodes Mixed,Number of Nodes Allocated
BC01,100,0,112,25,14,0,0,0,0,14
BC02,28,80,112,7,11,1,2,7,0,4
BC03,100,0,112,32,14,0,0,0,0,14
BC04,14,96,112,56,14,0,0,0,14,0
BC05,87,14,112,26,13,0,1,0,1,12
BC06,88,13,112,9,13,0,1,0,1,12
BC07,93,7,112,16,14,0,0,0,1,13
BC08,96,4,104,10,13,1,0,0,1,12
BC09,57,48,112,55,14,0,0,6,0,8
BC10,64,37,104,71,13,1,0,2,3,8
BC11,0,112,112,0,14,0,0,14,0,0
BC12,87,14,112,34,14,0,0,0,2,12
BC13,86,15,112,32,13,0,1,0,1,12
BC14,85,16,112,22,13,0,1,1,0,12
A1A-C2,100,0,128,24,8,0,0,0,0,8
A1A-C3,96,4,128,27,8,0,0,0,1,7
A1A-C4,100,0,128,43,8,0,0,0,0,8
A1A-C5,97,4,140,22,8,0,0,0,1,7
A1A-C6,90,16,160,28,8,0,0,0,4,4
A1A-C7,87,20,160,29,8,0,0,0,5,3
A1A-C8,92,12,160,58,8,0,0,0,3,5
A1A-C10,93,16,256,43,8,0,0,0,4,4
A1A-C11,100,0,256,50,8,0,0,0,0,8
A1A-C13,84,40,256,18,7,0,1,0,1,6
A1A-C14,82,60,352,39,8,0,0,0,4,3
A1A-C15,77,60,264,25,6,2,0,0,4,1
GPU01,0,6,6,0,0,1,0,0,0,0
GPU02,0,6,6,0,0,1,0,0,0,0
GPU03,0,6,6,0,1,0,0,1,0,0
GPU04,0,6,6,0,1,0,0,1,0,0
GPU05,0,6,6,0,0,1,0,0,0,0
